method,noise_cm,n_seeds,detect_rate,f1_mean,recall_mean,radius_rmse_cm_mean,radius_rmse_cm_std,axis_deg_mean,axis_deg_std
3dtk_hough,0.00,3,0.000,0.000,0.000,nan,nan,nan,nan
3dtk_hough,0.05,3,0.000,0.000,0.000,nan,nan,nan,nan
3dtk_hough,0.10,3,0.667,0.667,0.667,0.067,0.004,0.101,0.000
3dtk_hough,0.15,3,0.333,0.333,0.333,0.138,0.000,0.101,0.000
3dtk_hough,0.20,3,0.000,0.000,0.000,nan,nan,nan,nan
3dtk_hough,0.25,3,0.333,0.333,0.333,0.353,0.000,0.101,0.000
3dtk_hough,0.30,3,0.333,0.333,0.333,0.464,0.000,0.101,0.000
3dtk_hough,0.35,3,0.333,0.333,0.333,0.585,0.000,0.101,0.000
3dtk_hough,0.40,3,0.667,0.667,0.667,0.716,0.007,0.101,0.000
3dtk_hough,0.50,3,0.667,0.667,0.667,0.906,0.028,0.101,0.000
3dtk_hough,0.60,3,1.000,1.000,1.000,1.186,0.157,0.101,0.000
ransac_cylinder,0.00,3,1.000,1.000,1.000,0.000,0.000,0.000,0.000
ransac_cylinder,0.05,3,1.000,1.000,1.000,0.017,0.002,0.035,0.002
ransac_cylinder,0.10,3,1.000,1.000,1.000,0.065,0.003,0.048,0.017
ransac_cylinder,0.15,3,1.000,1.000,1.000,0.142,0.004,0.119,0.059
ransac_cylinder,0.20,3,1.000,1.000,1.000,0.246,0.012,0.398,0.051
ransac_cylinder,0.25,3,1.000,1.000,1.000,0.346,0.010,0.598,0.182
ransac_cylinder,0.30,3,1.000,1.000,1.000,0.401,0.015,0.999,0.444
ransac_cylinder,0.35,3,1.000,1.000,1.000,0.444,0.009,0.975,0.636
ransac_cylinder,0.40,3,1.000,1.000,1.000,0.407,0.107,1.008,1.065
ransac_cylinder,0.50,3,1.000,1.000,1.000,0.417,0.175,1.635,0.914
ransac_cylinder,0.60,3,1.000,1.000,1.000,0.314,0.151,1.519,1.270
ls_cylinder,0.00,3,1.000,1.000,1.000,0.000,0.000,0.000,0.000
ls_cylinder,0.05,3,1.000,1.000,1.000,0.004,0.004,0.007,0.004
ls_cylinder,0.10,3,1.000,1.000,1.000,0.063,0.020,0.020,0.007
ls_cylinder,0.15,3,1.000,1.000,1.000,0.172,0.019,0.018,0.007
ls_cylinder,0.20,3,1.000,1.000,1.000,0.292,0.010,0.030,0.017
ls_cylinder,0.25,3,1.000,1.000,1.000,0.429,0.009,0.026,0.015
ls_cylinder,0.30,3,1.000,1.000,1.000,0.560,0.013,0.033,0.023
ls_cylinder,0.35,3,1.000,1.000,1.000,0.678,0.012,0.042,0.019
ls_cylinder,0.40,3,1.000,1.000,1.000,0.781,0.010,0.055,0.031
ls_cylinder,0.50,3,1.000,1.000,1.000,0.961,0.009,0.064,0.034
ls_cylinder,0.60,3,1.000,1.000,1.000,1.073,0.014,0.087,0.025
efficient_ransac,0.00,3,1.000,1.000,1.000,0.003,0.000,0.014,0.000
efficient_ransac,0.05,3,1.000,1.000,1.000,0.433,0.227,0.747,0.138
efficient_ransac,0.10,3,1.000,1.000,1.000,0.586,0.203,2.122,0.409
efficient_ransac,0.15,3,1.000,0.889,1.000,0.940,0.253,3.471,1.268
efficient_ransac,0.20,3,0.333,0.222,0.333,0.654,0.000,3.788,0.000
efficient_ransac,0.25,3,0.667,0.556,0.667,1.900,1.841,7.396,0.179
efficient_ransac,0.30,3,1.000,1.000,1.000,1.894,0.839,3.374,1.487
efficient_ransac,0.35,3,0.667,0.667,0.667,0.944,0.150,3.888,2.077
efficient_ransac,0.40,3,0.667,0.667,0.667,0.690,0.471,2.665,1.091
efficient_ransac,0.50,3,0.333,0.333,0.333,0.197,0.000,2.455,0.000
efficient_ransac,0.60,3,0.667,0.667,0.667,2.296,1.266,5.026,0.079
