method,occlusion_pct,visible_arc_deg,n_seeds,detect_rate,f1_mean,recall_mean,radius_rmse_cm_mean,radius_rmse_cm_std,axis_deg_mean,axis_deg_std
3dtk_hough,0.0,360,3,1.000,1.000,1.000,0.002,0.000,0.101,0.000
3dtk_hough,16.7,300,3,1.000,1.000,1.000,0.001,0.001,0.101,0.000
3dtk_hough,33.3,240,3,1.000,1.000,1.000,0.001,0.001,0.101,0.000
3dtk_hough,50.0,180,3,0.667,0.667,0.667,0.009,0.002,0.101,0.000
3dtk_hough,66.7,120,3,0.667,0.667,0.667,0.070,0.001,0.101,0.000
3dtk_hough,75.0,90,3,1.000,1.000,1.000,0.229,0.005,0.101,0.000
3dtk_hough,83.3,60,3,0.000,0.000,0.000,nan,nan,nan,nan
ransac_cylinder,0.0,360,3,1.000,1.000,1.000,0.002,0.000,0.065,0.044
ransac_cylinder,16.7,300,3,1.000,1.000,1.000,0.001,0.001,0.050,0.045
ransac_cylinder,33.3,240,3,1.000,1.000,1.000,0.001,0.001,0.033,0.023
ransac_cylinder,50.0,180,3,1.000,1.000,1.000,0.008,0.002,0.032,0.003
ransac_cylinder,66.7,120,3,1.000,1.000,1.000,0.065,0.003,0.048,0.017
ransac_cylinder,75.0,90,3,1.000,1.000,1.000,0.224,0.006,0.069,0.011
ransac_cylinder,83.3,60,3,1.000,1.000,1.000,0.976,0.021,0.491,0.231
ls_cylinder,0.0,360,3,1.000,1.000,1.000,0.002,0.000,0.003,0.001
ls_cylinder,16.7,300,3,1.000,1.000,1.000,0.003,0.000,0.009,0.005
ls_cylinder,33.3,240,3,1.000,1.000,1.000,0.001,0.000,0.013,0.007
ls_cylinder,50.0,180,3,1.000,1.000,1.000,0.009,0.001,0.013,0.004
ls_cylinder,66.7,120,3,1.000,1.000,1.000,0.063,0.020,0.020,0.007
ls_cylinder,75.0,90,3,1.000,1.000,1.000,0.187,0.010,0.018,0.007
ls_cylinder,83.3,60,3,1.000,1.000,1.000,1.118,0.045,0.025,0.010
efficient_ransac,0.0,360,3,1.000,1.000,1.000,0.101,0.017,0.593,0.235
efficient_ransac,16.7,300,3,1.000,1.000,1.000,0.081,0.101,0.893,0.541
efficient_ransac,33.3,240,3,1.000,1.000,1.000,0.224,0.194,1.950,0.190
efficient_ransac,50.0,180,3,1.000,1.000,1.000,0.229,0.077,1.359,0.583
efficient_ransac,66.7,120,3,1.000,1.000,1.000,0.586,0.203,2.122,0.409
efficient_ransac,75.0,90,3,1.000,1.000,1.000,0.753,0.746,1.058,0.230
efficient_ransac,83.3,60,3,0.333,0.333,0.333,0.256,0.000,1.466,0.000
barrelnet,0.0,360,3,0.000,0.000,0.000,nan,nan,nan,nan
barrelnet,16.7,300,3,0.000,0.000,0.000,nan,nan,nan,nan
barrelnet,33.3,240,3,0.000,0.000,0.000,nan,nan,nan,nan
barrelnet,50.0,180,3,0.000,0.000,0.000,nan,nan,nan,nan
barrelnet,66.7,120,3,0.000,0.000,0.000,nan,nan,nan,nan
barrelnet,75.0,90,3,0.000,0.000,0.000,nan,nan,nan,nan
barrelnet,83.3,60,3,0.000,0.000,0.000,nan,nan,nan,nan
